STUDENTID,ACADYEAR,SEMESTER,CAMPUSID,COURSEID,CAMPUSNAME,CURRIC,COURSENAME,SECTIONGROUP,CREDIT
329200,2553,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329200,2555,1,2,CS457,RANGSIT,521,DATABASE SYSTEMS 2,90001,3
329201,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329201,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329201,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40002,3
329201,2554,1,2,CS395,RANGSIT,521,COMPUTER GRAPHICS,90001,3
329202,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329202,2555,2,2,ES356,RANGSIT,521,ECO-TOURISM,810001,3
329202,2555,2,2,PY211,RANGSIT,521,GENERAL PSYCHOLOGY,810001,3
329203,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329203,2555,2,2,EL202,RANGSIT,521,ENGLISH FOR WORK,80002,3
329204,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329204,2555,2,2,PC286,RANGSIT,521,INTRODUCTION TO ASTRONOMY,60001,3
329205,2554,1,2,BA291,RANGSIT,521,INTRODUCTION TO BUSINESS,820001,3
329206,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,40502,4
329206,2552,2,2,EL172,RANGSIT,521,ENGLISH COURSE 3,100005,3
329206,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329206,2552,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
329206,2552,2,2,SC123,RANGSIT,521,FUNDAMENTAL CHEMISTRY,70001,3
329206,2552,2,2,SC173,RANGSIT,521,FUNDAMENTAL CHEMISTRY   LABORATORY,8101,1
329206,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
329207,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329207,2555,2,2,EL202,RANGSIT,521,ENGLISH FOR WORK,80002,3
329208,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329208,2554,2,2,CS348,RANGSIT,521,INTRODUCTION TO CLUSTER COMPUTING AND DISTRIBUTED COMPUTING,50001,3
329209,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329209,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329209,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329209,2555,1,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,870001,3
329210,2552,1,2,CS101,RANGSIT,521,DISCRETE STRUCTURES,10001,3
329210,2552,1,2,CS102,RANGSIT,521,COMPUTER PROGRAMMING FUNDAMENTALS,20302,4
329210,2552,1,2,EL171,RANGSIT,521,ENGLISH COURSE 2,100005,3
329210,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
329210,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
