"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"C;2;""RANGSIT"";2552;2;""CS458"";""471"";""INFORMATION SYSTEMS FOR ENTREPRENEUR MANAGEMENT"";3;""650001"";0",
"C;2;""RANGSIT"";2552;2;""CS459"";""471"";""SELECTED TOPICS IN INFORMATION SYSTEMS"";3;""650001"";0",
"W;2;""RANGSIT"";2552;2;""CS467"";""471"";""MACHINE LEARNING"";3;""650001"";29",
"W;2;""RANGSIT"";2552;2;""CS476"";""471"";""COMPUTER GRAPHICS 2"";3;""650001"";3",
"C;2;""RANGSIT"";2552;2;""CS479"";""471"";""SELECTED TOPICS IN HUMAN-COMPUTER INTERACTION"";3;""650001"";0",
"W;2;""RANGSIT"";2552;2;""CS486"";""471"";""SOFTWARE VALIDATION  AND  VERIFICATION"";3;""650001"";1",
"W;2;""RANGSIT"";2552;2;""CS487"";""471"";""SOFTWARE PROJECT MANAGEMENT"";3;""650001"";32",
"W;2;""RANGSIT"";2552;2;""CS491"";""471"";""SPECIAL TOPICS   1"";2;""650001"";1",
"W;2;""RANGSIT"";2552;2;""CS492"";""401"";""SPECIAL TOPICS 2"";4;""000001"";1",
"W;2;""RANGSIT"";2552;2;""CS492"";""471"";""SPECIAL TOPICS 2"";4;""650001"";53",
"W;2;""RANGSIT"";2552;2;""EL171"";""471"";""ENGLISH COURSE 2"";3;""650001"";0",
"W;2;""RANGSIT"";2552;2;""EL171"";""521"";""ENGLISH COURSE 2"";3;""650001"";24",
"W;2;""RANGSIT"";2552;2;""EL172"";""471"";""ENGLISH COURSE 3"";3;""650001"";1",
"W;2;""RANGSIT"";2552;2;""EL172"";""471"";""ENGLISH COURSE 3"";3;""650002"";0",
"W;2;""RANGSIT"";2552;2;""EL172"";""521"";""ENGLISH COURSE 3"";3;""650001"";40",
"W;2;""RANGSIT"";2552;2;""EL172"";""521"";""ENGLISH COURSE 3"";3;""650002"";19",
"W;2;""RANGSIT"";2552;2;""EL396"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 2"";3;""650001"";38",
"W;2;""RANGSIT"";2552;2;""EL396"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 2"";3;""650002"";40",
"W;2;""RANGSIT"";2552;2;""MA212"";""472"";""CALCULUS 2"";3;""650001"";29",
"W;2;""RANGSIT"";2552;2;""MA212"";""521"";""CALCULUS 2"";3;""650001"";14",
"W;2;""RANGSIT"";2552;2;""MA332"";""471"";""LINEAR ALGEBRA"";3;""650001"";17",
"W;2;""RANGSIT"";2552;2;""MW313"";""471"";""SOCIAL NETWORK AND SOCIAL SUPPORT"";3;""650001"";65",
"W;2;""RANGSIT"";2552;2;""MW313"";""521"";""SOCIAL NETWORK AND SOCIAL SUPPORT"";3;""650001"";39",
"W;2;""RANGSIT"";2552;2;""PY228"";""471"";""PSYCHOLOGY OF INTERPERSONAL RELATIONS"";3;""650001"";0",
"W;2;""RANGSIT"";2552;2;""PY228"";""521"";""PSYCHOLOGY OF INTERPERSONAL RELATIONS"";3;""650001"";81",
"W;2;""RANGSIT"";2552;2;""SC123"";""471"";""FUNDAMENTAL CHEMISTRY"";3;""650001"";63",
"W;2;""RANGSIT"";2552;2;""SC123"";""521"";""FUNDAMENTAL CHEMISTRY"";3;""650001"";16",
"W;2;""RANGSIT"";2552;2;""SC135"";""471"";""GENERAL PHYSICS"";3;""650001"";25",
"W;2;""RANGSIT"";2552;2;""SC135"";""521"";""GENERAL PHYSICS"";3;""650001"";65",
